web_scraper_order,web_scraper_start_url,data,data2,data3,data4,data5
"1789309267-1","https://www.atode.fr/morphologie-femme/","","morphologie femme","","",""
"1789309267-2","https://www.atode.fr/morphologie-femme/","","","","",""
"1789309267-3","https://www.atode.fr/morphologie-femme/","","morphologie","","",""
"1789309267-4","https://www.atode.fr/morphologie-femme/","","comment ton corps est structuré","","",""
"1789309267-5","https://www.atode.fr/morphologie-femme/","","","","",""
"1789309267-6","https://www.atode.fr/morphologie-femme/","","","","",""
"1789309267-7","https://www.atode.fr/morphologie-femme/","","structure de base","elle reste globalement stable","",""
"1789309267-8","https://www.atode.fr/morphologie-femme/","","","","",""
"1789309267-9","https://www.atode.fr/morphologie-femme/","","donner des repères clairs pour comprendre ta silhouette","","",""
"1789309267-10","https://www.atode.fr/morphologie-femme/","","morphos","","","accompagnement Palette & Silhouette"
"1789309267-11","https://www.atode.fr/morphologie-femme/","","","","",""
"1789309267-12","https://www.atode.fr/morphologie-femme/","","","","","Instagram"
"1789309267-13","https://www.atode.fr/morphologie-femme/","","pas toi","","",""
"1789309267-14","https://www.atode.fr/morphologie-femme/","","morphologie de femme","ce qui te met en valeur","",""
"1789309267-15","https://www.atode.fr/morphologie-femme/","","","","",""
"1789309267-16","https://www.atode.fr/morphologie-femme/","","","","",""
"1789309267-17","https://www.atode.fr/morphologie-femme/","","","","",""
"1789309267-18","https://www.atode.fr/morphologie-femme/","","","","",""
"1789309267-19","https://www.atode.fr/morphologie-femme/","","","","",""
"1789309267-20","https://www.atode.fr/morphologie-femme/","","bijou bien placé","ceinture au bon endroit","paire de chaussures bien choisie",""
"1789309267-21","https://www.atode.fr/morphologie-femme/","","où attirer le regard","comment équilibrer ta silhouette","",""
"1789309267-22","https://www.atode.fr/morphologie-femme/","","","","",""
"1789309267-23","https://www.atode.fr/morphologie-femme/","","","","",""
"1789309267-24","https://www.atode.fr/morphologie-femme/","","6 grands types de morphologie femme","","",""
"1789309267-25","https://www.atode.fr/morphologie-femme/","","","","",""
"1789309267-26","https://www.atode.fr/morphologie-femme/","","structure particulière du corps","","",""
"1789309267-27","https://www.atode.fr/morphologie-femme/","","","","",""
"1789309267-28","https://www.atode.fr/morphologie-femme/","","liée à ton poids.","","",""
"1789309267-29","https://www.atode.fr/morphologie-femme/","","Avoir un petit ventre","","",""
"1789309267-30","https://www.atode.fr/morphologie-femme/","","entre deux morphos","","",""
"1789309267-31","https://www.atode.fr/morphologie-femme/","","","","",""
"1789309267-32","https://www.atode.fr/morphologie-femme/","","vision d’ensemble","ne te juge pas","",""
"1789309267-33","https://www.atode.fr/morphologie-femme/","","","","",""
"1789309267-34","https://www.atode.fr/morphologie-femme/","","","","",""
"1789309267-35","https://www.atode.fr/morphologie-femme/","","X","épaules et tes hanches sont alignées","taille marquée",""
"1789309267-36","https://www.atode.fr/morphologie-femme/","","silhouette “sablier”","","",""
