web_scraper_order,web_scraper_start_url,data,data2,data3,data4,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,image
"1789310549-1","https://fr.scribd.com/presentation/323686532/weather-clothes-and-seasons","WEATHER, CLOTHES AND","","","","Created by Paula López García","","","","","","","","","","","https://html.scribdassets.com/8f2anwufb45g2mp1/images/1-e0bac20f14.jpg"
"1789310549-2","https://fr.scribd.com/presentation/323686532/weather-clothes-and-seasons","In this lesson we will learn how to dress of the","","","weather.","","Let´s start with some vocabulary related to the","clothes.","","","","","","","","","https://html.scribdassets.com/8f2anwufb45g2mp1/images/2-47b9cab17b.jpg?token=eyJhbGciOiJIUzI1NiJ9.eyJleHAiOjE3OTE5MDI0OTQsImlhdCI6MTc4OTMxMDQ5NCwiaXNzIjoic2NyaWJkLW1vbm9saXRoIiwiZm9ybWF0X3V1aWQiOiI4ZjJhbnd1ZmI0NWcybXAxIiwieF9zY3JpYmRfdXVpZCI6ImMxYmQ0NzI2LTgwYTEtNDM1OC1iM2UyLTRhMzQ2MTZmZmJkNiIsInhfcmVxdWVzdF9pZCI6IjE4MjM5MjFjYzdhMjgzMGJmMmIyYWFkYWI3MDhiZTM1NDk2NTk3NGUzNzJmNzMzMzVlMjEyNmM3ZTQ2ZjFhOWQiLCJwYWdlX21pbiI6MSwicGFnZV9tYXgiOjEzLCJlbmZvcmNlIjp0cnVlfQ.8kUR9cb_y1_mqKX0aU0YlsEczRnibn7Io_YwjJ5bQ2w"
"1789310549-3","https://fr.scribd.com/presentation/323686532/weather-clothes-and-seasons","Sunglasses Coat Hat","","","Sweater Boots Scarf","","","","Sweater","","","","","Sunglasses Coat Hat","","","https://html.scribdassets.com/8f2anwufb45g2mp1/images/3-5fa4516f5b.png?token=eyJhbGciOiJIUzI1NiJ9.eyJleHAiOjE3OTE5MDI0OTQsImlhdCI6MTc4OTMxMDQ5NCwiaXNzIjoic2NyaWJkLW1vbm9saXRoIiwiZm9ybWF0X3V1aWQiOiI4ZjJhbnd1ZmI0NWcybXAxIiwieF9zY3JpYmRfdXVpZCI6ImMxYmQ0NzI2LTgwYTEtNDM1OC1iM2UyLTRhMzQ2MTZmZmJkNiIsInhfcmVxdWVzdF9pZCI6IjE4MjM5MjFjYzdhMjgzMGJmMmIyYWFkYWI3MDhiZTM1NDk2NTk3NGUzNzJmNzMzMzVlMjEyNmM3ZTQ2ZjFhOWQiLCJwYWdlX21pbiI6MSwicGFnZV9tYXgiOjEzLCJlbmZvcmNlIjp0cnVlfQ.8kUR9cb_y1_mqKX0aU0YlsEczRnibn7Io_YwjJ5bQ2w"
"1789310549-4","https://fr.scribd.com/presentation/323686532/weather-clothes-and-seasons","Gloves Cap T- shirt","","- shirt","Jeans Shorts Sandals","","Skirt Tracksuit Trainers","","Shorts Sandals","","T","racksui","","","","","https://html.scribdassets.com/8f2anwufb45g2mp1/images/4-fb79c5e0f9.jpg?token=eyJhbGciOiJIUzI1NiJ9.eyJleHAiOjE3OTE5MDI0OTQsImlhdCI6MTc4OTMxMDQ5NCwiaXNzIjoic2NyaWJkLW1vbm9saXRoIiwiZm9ybWF0X3V1aWQiOiI4ZjJhbnd1ZmI0NWcybXAxIiwieF9zY3JpYmRfdXVpZCI6ImMxYmQ0NzI2LTgwYTEtNDM1OC1iM2UyLTRhMzQ2MTZmZmJkNiIsInhfcmVxdWVzdF9pZCI6IjE4MjM5MjFjYzdhMjgzMGJmMmIyYWFkYWI3MDhiZTM1NDk2NTk3NGUzNzJmNzMzMzVlMjEyNmM3ZTQ2ZjFhOWQiLCJwYWdlX21pbiI6MSwicGFnZV9tYXgiOjEzLCJlbmZvcmNlIjp0cnVlfQ.8kUR9cb_y1_mqKX0aU0YlsEczRnibn7Io_YwjJ5bQ2w"
"1789310549-5","https://fr.scribd.com/presentation/323686532/weather-clothes-and-seasons","FOUR SEASONS","","","SPRING SUMMER","AUTUMN WINTER","","","","","","","","","","","https://html.scribdassets.com/8f2anwufb45g2mp1/images/5-fa0e255739.jpg?token=eyJhbGciOiJIUzI1NiJ9.eyJleHAiOjE3OTE5MDI0OTQsImlhdCI6MTc4OTMxMDQ5NCwiaXNzIjoic2NyaWJkLW1vbm9saXRoIiwiZm9ybWF0X3V1aWQiOiI4ZjJhbnd1ZmI0NWcybXAxIiwieF9zY3JpYmRfdXVpZCI6ImMxYmQ0NzI2LTgwYTEtNDM1OC1iM2UyLTRhMzQ2MTZmZmJkNiIsInhfcmVxdWVzdF9pZCI6IjE4MjM5MjFjYzdhMjgzMGJmMmIyYWFkYWI3MDhiZTM1NDk2NTk3NGUzNzJmNzMzMzVlMjEyNmM3ZTQ2ZjFhOWQiLCJwYWdlX21pbiI6MSwicGFnZV9tYXgiOjEzLCJlbmZvcmNlIjp0cnVlfQ.8kUR9cb_y1_mqKX0aU0YlsEczRnibn7Io_YwjJ5bQ2w"
"1789310549-6","https://fr.scribd.com/presentation/323686532/weather-clothes-and-seasons","SEASONS",", August)","","","There are four seasons in a year:","","","","•","","","","","","","https://html.scribdassets.com/8f2anwufb45g2mp1/images/6-13140b31db.jpg?token=eyJhbGciOiJIUzI1NiJ9.eyJleHAiOjE3OTE5MDI0OTQsImlhdCI6MTc4OTMxMDQ5NCwiaXNzIjoic2NyaWJkLW1vbm9saXRoIiwiZm9ybWF0X3V1aWQiOiI4ZjJhbnd1ZmI0NWcybXAxIiwieF9zY3JpYmRfdXVpZCI6ImMxYmQ0NzI2LTgwYTEtNDM1OC1iM2UyLTRhMzQ2MTZmZmJkNiIsInhfcmVxdWVzdF9pZCI6IjE4MjM5MjFjYzdhMjgzMGJmMmIyYWFkYWI3MDhiZTM1NDk2NTk3NGUzNzJmNzMzMzVlMjEyNmM3ZTQ2ZjFhOWQiLCJwYWdlX21pbiI6MSwicGFnZV9tYXgiOjEzLCJlbmZvcmNlIjp0cnVlfQ.8kUR9cb_y1_mqKX0aU0YlsEczRnibn7Io_YwjJ5bQ2w"
"1789310549-7","https://fr.scribd.com/presentation/323686532/weather-clothes-and-seasons","WHAT THE WEATHER LIKE?","hot","sunny","","","","","It´s","HOT",". Put on your","sunglasses","It´s","It´s","","T","https://html.scribdassets.com/8f2anwufb45g2mp1/images/7-d3b51dac85.jpg?token=eyJhbGciOiJIUzI1NiJ9.eyJleHAiOjE3OTE5MDI0OTQsImlhdCI6MTc4OTMxMDQ5NCwiaXNzIjoic2NyaWJkLW1vbm9saXRoIiwiZm9ybWF0X3V1aWQiOiI4ZjJhbnd1ZmI0NWcybXAxIiwieF9zY3JpYmRfdXVpZCI6ImMxYmQ0NzI2LTgwYTEtNDM1OC1iM2UyLTRhMzQ2MTZmZmJkNiIsInhfcmVxdWVzdF9pZCI6IjE4MjM5MjFjYzdhMjgzMGJmMmIyYWFkYWI3MDhiZTM1NDk2NTk3NGUzNzJmNzMzMzVlMjEyNmM3ZTQ2ZjFhOWQiLCJwYWdlX21pbiI6MSwicGFnZV9tYXgiOjEzLCJlbmZvcmNlIjp0cnVlfQ.8kUR9cb_y1_mqKX0aU0YlsEczRnibn7Io_YwjJ5bQ2w"
"1789310549-8","https://fr.scribd.com/presentation/323686532/weather-clothes-and-seasons","","windy","rainy","","WINDY","","","","",". You need your","raincoat","and","It´s","","","https://html.scribdassets.com/8f2anwufb45g2mp1/images/8-a2a140ada4.jpg?token=eyJhbGciOiJIUzI1NiJ9.eyJleHAiOjE3OTE5MDI0OTQsImlhdCI6MTc4OTMxMDQ5NCwiaXNzIjoic2NyaWJkLW1vbm9saXRoIiwiZm9ybWF0X3V1aWQiOiI4ZjJhbnd1ZmI0NWcybXAxIiwieF9zY3JpYmRfdXVpZCI6ImMxYmQ0NzI2LTgwYTEtNDM1OC1iM2UyLTRhMzQ2MTZmZmJkNiIsInhfcmVxdWVzdF9pZCI6IjE4MjM5MjFjYzdhMjgzMGJmMmIyYWFkYWI3MDhiZTM1NDk2NTk3NGUzNzJmNzMzMzVlMjEyNmM3ZTQ2ZjFhOWQiLCJwYWdlX21pbiI6MSwicGFnZV9tYXgiOjEzLCJlbmZvcmNlIjp0cnVlfQ.8kUR9cb_y1_mqKX0aU0YlsEczRnibn7Io_YwjJ5bQ2w"
"1789310549-9","https://fr.scribd.com/presentation/323686532/weather-clothes-and-seasons","","cloud","cloudy","","CLOUD CLOUDY","","","","","","","It´s","It´s","","","https://html.scribdassets.com/8f2anwufb45g2mp1/images/9-f4ed9d2468.jpg?token=eyJhbGciOiJIUzI1NiJ9.eyJleHAiOjE3OTE5MDI0OTQsImlhdCI6MTc4OTMxMDQ5NCwiaXNzIjoic2NyaWJkLW1vbm9saXRoIiwiZm9ybWF0X3V1aWQiOiI4ZjJhbnd1ZmI0NWcybXAxIiwieF9zY3JpYmRfdXVpZCI6ImMxYmQ0NzI2LTgwYTEtNDM1OC1iM2UyLTRhMzQ2MTZmZmJkNiIsInhfcmVxdWVzdF9pZCI6IjE4MjM5MjFjYzdhMjgzMGJmMmIyYWFkYWI3MDhiZTM1NDk2NTk3NGUzNzJmNzMzMzVlMjEyNmM3ZTQ2ZjFhOWQiLCJwYWdlX21pbiI6MSwicGFnZV9tYXgiOjEzLCJlbmZvcmNlIjp0cnVlfQ.8kUR9cb_y1_mqKX0aU0YlsEczRnibn7Io_YwjJ5bQ2w"
"1789310549-10","https://fr.scribd.com/presentation/323686532/weather-clothes-and-seasons","","","","rainy","RAINY","You need to bring an","umbrella","","It´s","","","","","umbrella","","https://html.scribdassets.com/8f2anwufb45g2mp1/images/10-4f7ff43ecc.jpg?token=eyJhbGciOiJIUzI1NiJ9.eyJleHAiOjE3OTE5MDI0OTQsImlhdCI6MTc4OTMxMDQ5NCwiaXNzIjoic2NyaWJkLW1vbm9saXRoIiwiZm9ybWF0X3V1aWQiOiI4ZjJhbnd1ZmI0NWcybXAxIiwieF9zY3JpYmRfdXVpZCI6ImMxYmQ0NzI2LTgwYTEtNDM1OC1iM2UyLTRhMzQ2MTZmZmJkNiIsInhfcmVxdWVzdF9pZCI6IjE4MjM5MjFjYzdhMjgzMGJmMmIyYWFkYWI3MDhiZTM1NDk2NTk3NGUzNzJmNzMzMzVlMjEyNmM3ZTQ2ZjFhOWQiLCJwYWdlX21pbiI6MSwicGFnZV9tYXgiOjEzLCJlbmZvcmNlIjp0cnVlfQ.8kUR9cb_y1_mqKX0aU0YlsEczRnibn7Io_YwjJ5bQ2w"
